occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Prunus serotina","Prunus serotina Ehrh.","3021850","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus serotina","Prunus serotina","Ehrh.","3021850",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Asterias amurensis","Asterias amurensis Lutken, 1871","5187508","EXACT","99","ACCEPTED","SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias amurensis","Asterias amurensis","Lutken, 1871","5187508",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Aphis fabae","Aphis fabae Scopoli, 1763","2072167","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis fabae","Aphis fabae","Scopoli, 1763","2072167",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Anthoxanthum odoratum","Anthoxanthum odoratum L.","2705975","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum","Anthoxanthum odoratum","L.","2705975",
,"Coptotermes","Coptotermes Wasmann, 1896","2007379","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Coptotermes",,"Coptotermes","Wasmann, 1896","2007379",
,"Paratrechina longicornis","Paratrechina longicornis (Latreille, 1802)","1325561","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis","Paratrechina longicornis","(Latreille, 1802) ","1325561",
,"Spartium junceum","Spartium junceum L.","5355395","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Spartium","Spartium junceum","Spartium junceum","L.","5355395",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Nassella trichotoma","Nassella trichotoma (Nees) Hack. & Arechav.","9613389","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Nassella","Nassella trichotoma","Nassella trichotoma","(Nees) Hack. & Arechav.","9613389",
,"Cytisus scoparius","Cytisus scoparius (L.) Link","5354656","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Cytisus scoparius","(L.) Link","5354656",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Agrilus (Agrilus) hypoleucus","Agrilus hypoleucus Gory & Laporte, 1837","4729767","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","Agrilus hypoleucus","Agrilus hypoleucus","Gory & Laporte, 1837","4729767",
,"Paratrechina longicornis","Paratrechina longicornis (Latreille, 1802)","1325561","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis","Paratrechina longicornis","(Latreille, 1802) ","1325561",
,"Cytisus scoparius","Cytisus scoparius (L.) Link","5354656","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Cytisus scoparius","(L.) Link","5354656",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus gasseri","Camponotus gasseri (Forel, 1894)","5034264","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus gasseri","Camponotus gasseri","(Forel, 1894) ","5034264",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Phytophthora cinnamomi","Phytophthora cinnamomi Rands","3203682","EXACT","99","ACCEPTED","SPECIES","Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora cinnamomi","Phytophthora cinnamomi","Rands","3203682",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus intrepidus","Camponotus intrepidus (Kirby, 1819)","5034397","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus intrepidus","Camponotus intrepidus","(Kirby, 1819) ","5034397",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Agrilus","Agrilus Curtis, 1825","1049531","EDITED","99","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus",,"Agrilus",,"1049531",
,"Agrilus (Agrilus) australasiae","Agrilus australasiae Gory & Laporte, 1837","4729791","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","Agrilus australasiae","Agrilus australasiae","Gory & Laporte, 1837","4729791",
,"Camponotus suffusus suffusus","Camponotus suffusus suffusus","5033849","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus suffusus","(Smith, 1858) ","5033849",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Camponotus innexus","Camponotus innexus Forel, 1902","5034489","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus innexus","Camponotus innexus","Forel, 1902","5034489",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Undaria pinnatifida","Undaria pinnatifida (Harv.) Suringar","5422556","EXACT","99","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","Undaria pinnatifida","(Harv.) Suringar","5422556",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Magallana gigas","Magallana gigas (Thunberg, 1793)","7820753","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Magallana","Magallana gigas","Magallana gigas","(Thunberg, 1793) ","7820753",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Camponotus suffusus","Camponotus suffusus (Smith, 1858)","5033847","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus","(Smith, 1858) ","5033847",
,"Camponotus suffusus","Camponotus suffusus (Smith, 1858)","5033847","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus","(Smith, 1858) ","5033847",
,"Camponotus suffusus","Camponotus suffusus (Smith, 1858)","5033847","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus","(Smith, 1858) ","5033847",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus gasseri","Camponotus gasseri (Forel, 1894)","5034264","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus gasseri","Camponotus gasseri","(Forel, 1894) ","5034264",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
