"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"dataResourceUid","dataResourceUid","","dataResourceUid","Dataset","dataResourceUid","Data Resource ID","A list (concatenated and separated) of preparations and preservation methods for a specimen."
"images","imageIDs","images","imageIDs","images","imageIDs","images","Image URLs for this record http://rs.tdwg.org/dwc/terms/images"
"dcterms:modified","modified","dcterms:modified","modified","","modified","",""
"dcterms:language","language","dcterms:language","language","","language","","Language of the record"
"dcterms:license","license","dcterms:license","license","License","license","Licence","The license applying to a record."
"rightsHolder","rightsHolder","dcterms:rightsHolder","rightsHolder","","rightsHolder","",""
"dcterms:accessRights","accessRights","dcterms:accessRights","accessRights","Access rights","accessRights","",""
"dcterms:bibliographicCitation","bibliographicCitation","dcterms:bibliographicCitation","bibliographicCitation","","bibliographicCitation","","Bibliographic citation for this record"
"references","references","dcterms:references","references","","references","",""
"institutionID","institutionID","institutionID","institutionID","Institution ID","institutionID","","http://rs.tdwg.org/dwc/terms/institutionID"
"collectionID","collectionID","collectionID","collectionID","Collection","collectionID","","http://rs.tdwg.org/dwc/terms/collectionID"
"datasetID","datasetID","datasetID","datasetID","Dataset","datasetID","","http://rs.tdwg.org/dwc/terms/datasetID"
"institutionCode","institutionCode","institutionCode","institutionCode","Institution Code","institutionCode","Institution Code","The institution code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/institutionCode"
"collectionCode","collectionCode","collectionCode","collectionCode","Collection","collectionCode","Collection Code","The collection code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/collectionCode"
"datasetName","datasetName","datasetName","datasetName","Dataset / Survey name","datasetName","","The name of the dataset for this record. Typically used to share the name of the survey when data has been supplied with multiple surveys in a single data resource. http://rs.tdwg.org/dwc/terms/datasetName"
"ownerInstitutionCode","ownerInstitutionCode","ownerInstitutionCode","ownerInstitutionCode","Owner Institution Code","ownerInstitutionCode","","http://rs.tdwg.org/dwc/terms/ownerInstitutionCode"
"basisOfRecord","basisOfRecord","basisOfRecord","basisOfRecord","Record type","basisOfRecord","Basis Of Record","What this is a record of e.g. specimen, human observation, fossil http://rs.tdwg.org/dwc/terms/basisOfRecord"
"informationWithheld","informationWithheld","informationWithheld","informationWithheld","Information withheld during processing","informationWithheld","Information withheld during processing","http://rs.tdwg.org/dwc/terms/informationWithheld"
"dataGeneralizations","dataGeneralizations","dataGeneralizations","dataGeneralizations","Data Generalised during processing","dataGeneralizations","Data Generalised during processing","http://rs.tdwg.org/dwc/terms/dataGeneralizations"
"dynamicProperties","dynamicProperties","dynamicProperties","dynamicProperties","Dynamic Properties","dynamicProperties","","http://rs.tdwg.org/dwc/terms/dynamicProperties"
"occurrenceID","occurrenceID","occurrenceID","occurrenceID","Occurrence ID","occurrenceID","","http://rs.tdwg.org/dwc/terms/occurrenceID"
"catalogNumber","catalogNumber","catalogNumber","catalogNumber","Catalogue Number","catalogNumber","Catalogue Number","http://rs.tdwg.org/dwc/terms/catalogNumber"
"recordNumber","recordNumber","recordNumber","recordNumber","Record number","recordNumber","Record number","http://rs.tdwg.org/dwc/terms/recordNumber"
"recordedBy","recordedBy","recordedBy","recordedBy","recordedBy","recordedBy","Collector","The collector for the occurrence. http://rs.tdwg.org/dwc/terms/recordedBy"
"individualCount","individualCount","individualCount","individualCount","Individual count","individualCount","Individual count","http://rs.tdwg.org/dwc/terms/individualCount"
"organismQuantity","organismQuantity","organismQuantity","organismQuantity","Organism Quantity","organismQuantity","","http://rs.tdwg.org/dwc/terms/organismQuantity"
"organismQuantityType","organismQuantityType","organismQuantityType","organismQuantityType","Organism Quantity Type","organismQuantityType","","http://rs.tdwg.org/dwc/terms/organismQuantityType"
"sex","sex","sex","sex","Sex","sex","Sex","The sex of the biological individual(s) represented in the Occurrence http://rs.tdwg.org/dwc/terms/sex"
"lifeStage","lifeStage","lifeStage","lifeStage","Life stage","lifeStage","","http://rs.tdwg.org/dwc/terms/lifeStage"
